"location","name","properties_backupPolicy_periodicModeProperties_backupIntervalInMinutes","properties_backupPolicy_periodicModeProperties_backupRetentionIntervalInHours","properties_backupPolicy_periodicModeProperties_backupStorageRedundancy","properties_backupPolicy_type","resourceGroup","subscriptionId","type"
"australiaeast","wil-dev-exp-aue1-csm","240","8","Geo","Periodic","t3-wil-dev-exp-aue1-glb-rsg","2e254e02-1149-4bb8-8db1-f20511afb1a4","microsoft.documentdb/databaseaccounts"
"australiaeast","wil-prd-exp-aue1-csm","240","8","Geo","Periodic","t3-wil-prd-exp-aue1-glb-rsg","3ab44a28-5c8d-4f57-9d5e-b4830331e5db","microsoft.documentdb/databaseaccounts"
"australiasoutheast","wil-dev-mkp-lut-aue1-csm","1440","96","Geo","Periodic","t3-wil-dev-mkp-lut-aue1-app-rsg","0be01d84-8432-4558-9aba-ecd204a3ee61","microsoft.documentdb/databaseaccounts"
"australiasoutheast","wil-dev-mkp-ccr-aue1-csm","240","8","Geo","Periodic","t3-wil-dev-mkp-ccr-aue1-app-rsg","0be01d84-8432-4558-9aba-ecd204a3ee61","microsoft.documentdb/databaseaccounts"
"australiaeast","cosmos-twin-willow-sbx-shared-babf29e5","240","8","Geo","Periodic","rg-twin-willow-sbx-shared-292d44fc","249312a0-4c83-4d73-b164-18c5e72bf219","microsoft.documentdb/databaseaccounts"
"australiaeast","cosmos-twin-willow-song-shared-472c89a8","240","8","Geo","Periodic","rg-twin-willow-song-song-shared-49457b9a","249312a0-4c83-4d73-b164-18c5e72bf219","microsoft.documentdb/databaseaccounts"
"australiaeast","wil-sbx-wrt-aue1-csm","240","8","Geo","Periodic","t3-wil-sbx-wrt-aue1-lkp-rsg","249312a0-4c83-4d73-b164-18c5e72bf219","microsoft.documentdb/databaseaccounts"
"australiaeast","cosmos-twin-willow-sbx-shared-11aead54","240","8","Geo","Periodic","rg-twin-willow-sbx-shared-37696790","249312a0-4c83-4d73-b164-18c5e72bf219","microsoft.documentdb/databaseaccounts"
"australiaeast","cosmos-twin-willow-nonprod-shared-7a87814c","240","8","Geo","Periodic","rg-twin-willow-nonprod-shared-fbae144b","7dab7b5a-d968-43a5-a50f-9509244c297b","microsoft.documentdb/databaseaccounts"
"australiaeast","wil-prd-wrt-aue1-csm","240","8","Geo","Periodic","t3-wil-prd-wrt-aue1-lkp-rsg","ee06cff9-d2d7-405a-8ce9-cf82fe78fbf6","microsoft.documentdb/databaseaccounts"
"australiaeast","wil-dev-wrt-aue1-csm","240","8","Geo","Periodic","t3-wil-dev-wrt-aue1-lkp-rsg","5b797013-f6dc-4235-a157-e4cb98ef8599","microsoft.documentdb/databaseaccounts"
"australiaeast","wil-uat-exp-aue1-csm","240","8","Geo","Periodic","t3-wil-uat-exp-aue1-glb-rsg","c9a0ae53-c468-4612-a318-cfb719c4b2ca","microsoft.documentdb/databaseaccounts"
"australiaeast","wil-uat-mkp-lut-aue1-csm","240","8","Geo","Periodic","t3-wil-uat-mkp-lut-aue1-app-rsg","f4edc7ff-4396-47be-bf14-90892e463848","microsoft.documentdb/databaseaccounts"
